# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false       date            20   thrpt    10       81533.900 ±     110757.868        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false       date            20   thrpt    10      116526.700 ±     215296.990        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decreaseForFootprint                                  false       date            20   thrpt    10           0.600 ±          2.869        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decrementTenuringThresholdForGcCost                   false       date            20   thrpt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorCollectionSlope                                  false       date            20   thrpt    10           0.300 ±          1.434        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false       date            20   thrpt    10         338.700 ±       1126.573        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false       date            20   thrpt    10       24843.200 ±    1668930.633        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false       date            20   thrpt    10          51.200 ±         96.606        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false       date            20   thrpt    10           3.500 ±          9.134        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false       date            20   thrpt    10          26.500 ±         40.519        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false       date            20   thrpt    10         441.300 ±        850.034        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowWaste                                               false       date            20   thrpt    10          35.000 ±      20753.616        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false       date            20   thrpt    10          58.500 ±          2.390  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false       date            20   thrpt    10          57.500 ±          2.390  threads
